instance_id	verdict	cost_usd
astropy__astropy-13033	unresolved	0.23126920000000004
astropy__astropy-14369	unresolved	0.9431594000000002
astropy__astropy-7606	RESOLVED	0.2136154
astropy__astropy-8707	RESOLVED	0.5441244000000002
astropy__astropy-8872	RESOLVED	0.29956179999999993
django__django-11141	unresolved	0.317406
django__django-11477	RESOLVED	0.145741
django__django-11820	unresolved	0.2372878
django__django-12273	RESOLVED	0.8014863999999998
django__django-14315	unresolved	0.1433152
django__django-14792	RESOLVED	0.6816904000000001
django__django-15098	RESOLVED	1.1528264000000004
django__django-15252	unresolved	0.6277604000000001
django__django-15973	RESOLVED	0.8877577999999998
django__django-16950	unresolved	0.9104763999999997
matplotlib__matplotlib-20676	unresolved	0.5672468
matplotlib__matplotlib-21568	RESOLVED	0.35198959999999996
matplotlib__matplotlib-23299	unresolved	1.3302723999999997
matplotlib__matplotlib-23476	unresolved	0.2793066
matplotlib__matplotlib-26208	unresolved	0.8216472
mwaskom__seaborn-3187	RESOLVED	0.3618994
pytest-dev__pytest-10356	RESOLVED	0.5781206
pytest-dev__pytest-5840	RESOLVED	0.45781660000000013
scikit-learn__scikit-learn-25747	unresolved	0.2363764
scikit-learn__scikit-learn-26194	RESOLVED	0.14723320000000004
sphinx-doc__sphinx-10435	RESOLVED	0.33354760000000006
sphinx-doc__sphinx-10614	unresolved	0.5526616
sphinx-doc__sphinx-7590	RESOLVED	1.1395858
sphinx-doc__sphinx-7985	RESOLVED	0.4710620000000001
sphinx-doc__sphinx-8595	RESOLVED	0.19815499999999997
sphinx-doc__sphinx-9711	RESOLVED	0.20018020000000003
sympy__sympy-13798	unresolved	0.27936939999999993
sympy__sympy-15976	RESOLVED	0.45175679999999996
sympy__sympy-18199	unresolved	0.2077712
sympy__sympy-20916	unresolved	0.2748359999999999
sympy__sympy-21596	unresolved	0.3947594
sympy__sympy-22080	unresolved	0.8234957999999999
